"index_ts","date","metric","value"
"nasdaq_100_ndx","2024-12-11","low",21533.890625
"nasdaq_100_ndx","2024-12-11","open",21540.380859375
"nasdaq_100_ndx","2024-12-10","volume",6843850000
"nasdaq_100_ndx","2024-12-10","open",21492.509765625
"nasdaq_100_ndx","2024-12-10","low",21313.26953125
"nasdaq_100_ndx","2024-12-10","high",21567.01953125
"nasdaq_100_ndx","2024-12-10","close_adjusted",21368.1796875
"nasdaq_100_ndx","2024-12-10","close",21368.1796875
"nasdaq_100_ndx","2024-12-09","close",21440.8203125
"nasdaq_100_ndx","2024-12-09","open",21573.759765625
"nasdaq_100_ndx","2024-12-09","low",21400.76953125
"nasdaq_100_ndx","2024-12-09","high",21609.990234375
"nasdaq_100_ndx","2024-12-09","close_adjusted",21440.8203125
"nasdaq_100_ndx","2024-12-09","volume",7884620000
"nasdaq_100_ndx","2024-12-06","close_adjusted",21622.25
"nasdaq_100_ndx","2024-12-06","close",21622.25
"nasdaq_100_ndx","2024-12-06","low",21449.619140625
